occupation_code,level,parent_code,title,description,skill_level,source,source_year
62,sub_major,6,"MARKET-ORIENTED SKILLED FORESTRY, FISHERY AND HUNTING WORKERS",,,MASCO 2020,2020
621,minor,62,SKILLED FORESTRY AND RELATED WORKERS,,,MASCO 2020,2020
6211,unit,621,SKILLED FORESTRY AND RELATED WORKERS,"Skilled Forestry and Related Workers carry out the necessary operations to cultivate, conserve and exploit forests for sale or delivery on a regular basis to wholesale buyers, marketing organisations or at markets.",,MASCO 2020,2020
622,minor,62,"SKILLED FISHERY WORKERS, HUNTERS AND TRAPPERS",,,MASCO 2020,2020
6221,unit,622,FISHERY AND AQUACULTURE PRODUCERS,"Fishery and Aquaculture Producers plan and carry out the necessary operations to breed and cultivate fish, mussels, oysters and other forms of aquatic life and produce aquatic products such as fishballs, crackers, otak-otak, shells, sea cucumber, dried aquatic products and the cultivation of ornamental fish for sale or delivery on a regular basis to wholesalers, marketing organisations or at markets.",,MASCO 2020,2020
6222,unit,622,SKILLED INLAND AND COASTAL WATERS FISHERY WORKERS,"Skilled Inland and Coastal Waters Fishery Workers, alone or as crewmen of fishing boats, catch fish or gather other forms of aquatic life in inland or coastal waters for sale or delivery on a regular basis to wholesalers, marketing organisations or at markets.",,MASCO 2020,2020
6223,unit,622,SKILLED DEEP-SEA FISHERY WORKERS,"Skilled Deep-Sea Fishery Workers, as crewmen of fishing boats, catch deep-sea fish for sale or delivery on a regular basis to wholesalers, marketing organisations or at markets.",,MASCO 2020,2020
6224,unit,622,HUNTERS AND TRAPPERS,"Hunters and Trappers catch and kill mammals, birds or reptiles mainly to obtain meat, skin, feathers and other products for sale or delivery on a regular basis to wholesale buyers, marketing organisations or at markets.",,MASCO 2020,2020
63,sub_major,6,"SUBSISTENCE FARMERS, FISHERMEN, HUNTERS AND GATHERERS",,,MASCO 2020,2020
631,minor,63,SUBSISTENCE CROP FARMERS,,,MASCO 2020,2020
6311,unit,631,SUBSISTENCE CROP FARMERS,"Subsistence Crop Farmers grow and harvest field or tree and shrub crops, vegetables and fruit in order to provide food, shelter and a minimum cash income for themselves and their households.",,MASCO 2020,2020
632,minor,63,SUBSISTENCE LIVESTOCK FARMERS,,,MASCO 2020,2020
6321,unit,632,SUBSISTENCE LIVESTOCK FARMERS,"Subsistence Livestock Farmers breed, raise and tend livestock in order to provide food, shelter and a minimum cash income for themselves and their household.",,MASCO 2020,2020
633,minor,63,SUBSISTENCE MIXED CROP AND LIVESTOCK FARMERS,,,MASCO 2020,2020
6331,unit,633,SUBSISTENCE MIXED CROP AND LIVESTOCK FARMERS,"Subsistence Mixed Crop and Livestock Farmers grow and harvest field or tree and shrub crops and various mixed crops, vegetables and wild fruit, medicinal and other plants, hunt or trap animals or catch fish and gather various forms of aquatic life in order to provide food, shelter and a minimum cash income for themselves and their households.",,MASCO 2020,2020
634,minor,63,"SUBSISTENCE FISHERMEN, HUNTERS, TRAPPERS AND GATHERERS",,,MASCO 2020,2020
6341,unit,634,"SUBSISTENCE FISHERMEN, HUNTERS, TRAPPERS AND GATHERERS","Subsistence Fishermen, Hunters, Trappers and Gatherers gather wild fruit, medicinal and other plants, and hunt and trap animals, and catch fish and gather various forms of aquatic life in order to provide food, shelter and a minimum cash income for themselves and their households.",,MASCO 2020,2020
7,major,,CRAFT AND RELATED TRADES WORKERS,,,MASCO 2020,2020
71,sub_major,7,"SUBSISTENCE FARMERS, FISHERMEN, HUNTERS AND GATHERERS",,,MASCO 2020,2020
711,minor,71,BUILDING FRAME AND RELATED TRADES WORKERS,,,MASCO 2020,2020
7111,unit,711,HOUSE BUILDERS AND CONSTRUCTION WORKERS,"House Builders and Construction Workers erect, maintain and repair houses and similar small buildings using either traditional or modern techniques and materials.",,MASCO 2020,2020
7112,unit,711,BRICKLAYERS AND RELATED WORKERS,"Bricklayers and Related Workers lay bricks, pre-cut stones and other types of building blocks to construct and repair walls, partitions, arches and other structures.",,MASCO 2020,2020
7113,unit,711,"STONEMASONS, STONE CUTTERS, SPLITTERS AND CARVERS","Stonemasons, Stone Cutters, Splitters and Carvers cut and shape hard and soft stone blocks and slabs for the construction and maintenance of stone structures and monumental masonry, and carve designs and figures in stone.",,MASCO 2020,2020
7114,unit,711,"CONCRETE PLACERS, CONCRETE FINISHERS AND RELATED WORKERS","Concrete Placers, Concrete Finishers and Related Workers erect reinforced concrete frameworks and structures, make forms for moulding concrete, reinforce concrete surfaces, cement openings in walls or casings for wells, finish and repair cement surfaces and carry out terrazzo work.",,MASCO 2020,2020
7115,unit,711,CARPENTERS AND JOINERS,"Carpenters and Joiners cut, shape, assemble, erect, maintain and repair various types of wooden structures and fittings.",,MASCO 2020,2020
7119,unit,711,BUILDING FRAME AND RELATED TRADES WORKERS NOT ELSEWHERE,"CLASSIFIED This unit group includes Building Frame and Related Trades Workers Not Elsewhere Classified in Minor Group 711: Building Frame and Related Trades Workers. As an example, this group include Drain Layer, Demolition Worker, Erector, Billboard and Steeplejack.",,MASCO 2020,2020
712,minor,71,BUILDING FINISHERS AND RELATED TRADES WORKERS,,,MASCO 2020,2020
7121,unit,712,ROOFERS,Roofers build and repair roofs on all types of buildings using one or more kinds of materials.,,MASCO 2020,2020
7122,unit,712,FLOOR LAYERS AND TILE SETTERS,"Floor Layers and Tile Setters install, maintain and repair flooring, and cover floors, walls and other surfaces with tiles or mosaic panels for decorative or other purposes.",,MASCO 2020,2020
7123,unit,712,PLASTERERS,"Plasterers install, maintain and repair plasterboard in buildings, and apply decorative and protective coverings of plaster, cement and similar material to the interiors and exteriors of structures.",,MASCO 2020,2020
7124,unit,712,INSULATION WORKERS,"Insulation Workers apply and repair insulating materials to buildings, boilers, pipes or refrigeration and air-conditioning equipment.",,MASCO 2020,2020
7125,unit,712,GLAZIERS,"Glaziers measure, cut, finish, fit and install flat glass and mirrors.",,MASCO 2020,2020
7126,unit,712,PLUMBERS AND PIPE FITTERS,"Plumbers and Pipe Fitters assemble, install, repair and maintain pipe systems, fittings and fixtures for water, gas, drainage, sewerage systems, and hydraulic and pneumatic equipment.",,MASCO 2020,2020
7127,unit,712,AIR CONDITIONING AND REFRIGERATION MECHANICS,"Air Conditioning and Refrigeration Mechanics assemble, install, maintain and repair air conditioning and refrigeration systems and equipment.",,MASCO 2020,2020
713,minor,71,"PAINTERS, BUILDING STRUCTURE CLEANERS AND RELATED TRADES WORKERS",,,MASCO 2020,2020
7131,unit,713,PAINTERS AND RELATED WORKERS,"Painters and Related Workers prepare surfaces of buildings and other structures for painting, apply protective and decorative coats of paint or similar materials, or cover interior walls and ceilings of buildings with wallpaper or other finishes.",,MASCO 2020,2020
7132,unit,713,SPRAY PAINTERS AND VARNISHERS,Spray Painters and Varnishers operate spray painting and varnishing equipment to apply protective coatings to manufactured items or structures.,,MASCO 2020,2020
7133,unit,713,BUILDING STRUCTURE CLEANERS,"Building Structure Cleaners clean exterior surfaces of buildings and other structures, and remove soot from chimneys.",,MASCO 2020,2020
72,sub_major,7,"METAL, MACHINERY AND RELATED TRADES WORKERS",,,MASCO 2020,2020
